Year,Game,Genre,Publisher,Original platform(s)[a],Ref.
2001,Rez,Rail shooter,Sega,"Dreamcast, PS2",[GH]
2001,Silent Hill 2,Survival horror,Konami,PS2,[GI]
2001,Super Smash Bros. Melee,Fighting,Nintendo,GameCube,[GJ]
2001,Tony Hawk's Pro Skater 3,Sports,Activision,"PlayStation, PS2",[GK]
2002,Battlefield 1942,First-person shooter,Electronic Arts,PC,[GL]
2002,The Elder Scrolls III: Morrowind,Action role-playing,Bethesda Softworks,PC,[GM]
2002,Eternal Darkness: Sanity's Requiem,Survival horror,Nintendo,GameCube,[GN]
2002,Grand Theft Auto: Vice City,Action-adventure,Rockstar Games,PS2,[GO]
2002,Kingdom Hearts,Action role-playing,Square,PS2,[GP]
2002,The Legend of Zelda: The Wind Waker,Action-adventure,Nintendo,GameCube,[GQ]
2002,Metroid Prime,Action-adventure,Nintendo,GameCube,[GR]
2002,Soulcalibur II,Fighting,Namco,Arcade,[GS]
2002,Tom Clancy's Splinter Cell,Stealth,Ubisoft,Xbox,[GT]
2002,Warcraft III: Reign of Chaos,Real-time strategy,Blizzard Entertainment,"PC, Mac",[GU]
2003,Beyond Good & Evil,Action-adventure,Ubisoft,PS2,[GV]
2003,F-Zero GX,Racing,Nintendo,GameCube,[GW]
2003,Max Payne 2: The Fall of Max Payne,Third-person shooter,Rockstar Games,PC,[GX]
2003,Prince of Persia: The Sands of Time,Action-adventure,Ubisoft,"GameCube, PS2, Xbox",[GY]
2003,Star Wars: Knights of the Old Republic,Role-playing,LucasArts,Xbox,[GZ]
2003,"WarioWare, Inc.: Mega Microgames!",Action,Nintendo,Game Boy Advance,[HA]
2004,Burnout 3: Takedown,Racing,Electronic Arts,"PS2, Xbox",[HB]
2004,The Chronicles of Riddick: Escape from Butcher Bay,Stealth,Vivendi Universal Games,Xbox,[HC]
2004,Dragon Quest VIII,Role-playing,Square Enix,PS2,[HD]
2004,Gran Turismo 4,Racing,Sony Computer Entertainment,PS2,[HE]
2004,Grand Theft Auto: San Andreas,Action-adventure,Rockstar Games,PS2,[HF]
2004,Half-Life 2,First-person shooter,Valve,PC,[HG]
2004,Halo 2,First-person shooter,Microsoft Game Studios,Xbox,[HH]
2004,Katamari Damacy,Action,Namco,PS2,[HI]
2004,Metal Gear Solid 3: Snake Eater,Stealth,Konami,PS2,[HJ]
2004,Rome: Total War,Strategy,Activision,PC,[HK]
2004,The Sims 2,Life simulation,Electronic Arts,PC,[HL]
2004,World of Warcraft,MMORPG,Blizzard Entertainment,"PC, Mac",[HM]
2005,Call of Duty 2,First-person shooter,Activision,PC,[HN]
2005,Civilization IV,Turn-based strategy,2K Games,PC,[HO]
2005,Devil May Cry 3: Dante's Awakening,Action-adventure,Capcom,PS2,[HP]
2005,God of War,Action-adventure,Sony Computer Entertainment,PS2,[HQ]
2005,Guitar Hero,Rhythm,RedOctane,PS2,[HR]
2005,Psychonauts,Platform,Majesco,"PC, Xbox",[HS]
2005,Resident Evil 4,Survival horror,Capcom,GameCube,[HT]
2005,Shadow of the Colossus,Action-adventure,Sony Computer Entertainment,PS2,[HU]
2005,Tom Clancy's Splinter Cell: Chaos Theory,Stealth,Ubisoft,"GameCube, PC, PS2, Xbox",[HV]
2006,Company of Heroes,Real-time strategy,THQ,PC,[HW]
2006,The Elder Scrolls IV: Oblivion,Action role-playing,"2K Games, Bethesda Softworks","PC, Xbox 360",[HX]
2006,Gears of War,Third-person shooter,Microsoft Game Studios,Xbox 360,[HY]
2006,Hitman: Blood Money,Stealth,Eidos Interactive,"PC, PS2, Xbox, Xbox 360",[HZ]
2006,The Legend of Zelda: Twilight Princess,Action-adventure,Nintendo,"GameCube, Wii",[IA]
2006,Ōkami,Action-adventure,Capcom,PS2,[IB]
2006,Wii Sports,Sports,Nintendo,Wii,[IC]
2007,BioShock,First-person shooter,2K Games,"PC, Xbox 360",[ID]
